"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31795","Shouldn't login with invalid 2fa authenticator code","webkit","2026-02-04","broken","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code","chromium","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
"","30160","Shouldn't login with invalid 2fa authenticator code","firefox","2026-02-04","broken","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code","webkit","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code","firefox","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code **Actions**","firefox","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code **Actions**","webkit","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
"","31923","Shouldn't login with invalid 2fa authenticator code","chromium","2026-02-04","broken","2026-02-04","","login.spec.js","",""
"","0","Should login with valid 2fa code **Actions**","chromium","2026-02-04","skipped","2026-02-04","","login.spec.js","",""
